meanedge,threshold
3.315790,0.896016
3.900550,0.930391
3.689660,0.908047
3.900000,0.929531
3.542170,0.916641
3.958900,0.930391
3.132350,0.890625
3.746670,0.921797
3.414890,0.902891
3.775740,0.924375
3.827590,0.926094
3.585370,0.917500
3.762710,0.923516
3.851850,0.927812
3.090910,0.889648
3.339810,0.906328
3.609760,0.918359
3.898880,0.920078
3.794120,0.923516
3.988760,0.917500
3.036140,0.880859
3.796120,0.926094
3.347830,0.905469
3.849060,0.927812
3.350880,0.904609
3.636360,0.921797
3.994540,0.931250
3.461540,0.912344
3.358490,0.907187
3.642860,0.920078
3.521740,0.912344
3.857140,0.929531
3.909090,0.928672
3.742270,0.914062
3.538460,0.916641
3.827590,0.922656
3.213110,0.898594
3.603450,0.918359
3.592590,0.906328
3.863640,0.927812
3.219510,0.897734
3.504350,0.914062
3.951720,0.929531
3.409520,0.910625
3.419750,0.900313
3.866670,0.928672
3.403850,0.910625
3.638660,0.921797
3.827270,0.927812
3.546300,0.914922
3.867470,0.927812
3.446810,0.912344
3.382980,0.906328
3.186050,0.896016
3.675320,0.916641
3.504350,0.915781
3.644440,0.915781
3.726620,0.924375
3.774770,0.924375
3.317880,0.897734
3.907690,0.930391
3.394900,0.908906
3.080000,0.885742
3.788730,0.923516
3.644070,0.906328
3.792000,0.921797
3.157300,0.888672
3.221240,0.899453
3.734690,0.922656
3.778630,0.924375
3.516530,0.915781
3.818180,0.928672
3.464910,0.914062
3.518520,0.908906
3.661290,0.921797
3.327270,0.897734
3.440000,0.898594
3.268040,0.890859
3.515150,0.905469
3.049080,0.883789
3.583330,0.908047
3.788730,0.925234
3.619350,0.914922
3.657140,0.921797
3.527780,0.915781
3.590910,0.917500
3.764330,0.918359
3.112500,0.890859
3.305560,0.903750
3.400000,0.910625
3.087910,0.885742
3.683760,0.923516
3.633660,0.918359
3.939390,0.929531
3.647890,0.902891
3.245760,0.903750
3.744190,0.920078
3.921430,0.929531
3.670970,0.920078
3.839620,0.926094
3.611110,0.920938
3.869820,0.927812
3.736840,0.918359
3.381440,0.907187
3.265310,0.895156
3.488100,0.915781
3.485070,0.914922
3.800000,0.913203
3.627910,0.920078
3.975900,0.929531
3.198020,0.897734
3.207790,0.896016
3.548670,0.915781
3.310340,0.899453
3.950620,0.928672
3.835050,0.926953
3.185190,0.890625
3.369230,0.893438
3.218750,0.898594
3.666670,0.920938
3.304880,0.890859
3.536080,0.900313
3.120480,0.891719
3.834860,0.931250
3.513230,0.909766
3.536840,0.914062
3.688170,0.920078
3.061730,0.886719
3.825810,0.923516
3.593750,0.917500
3.827340,0.927812
3.753620,0.924375
3.205130,0.898594
3.252870,0.895156
3.869570,0.925234
3.714290,0.922656
3.744190,0.917500
3.372410,0.908047
3.986110,0.934687
3.775330,0.925234
3.356160,0.901172
3.466020,0.909766
3.526320,0.916641
3.878380,0.926094
3.305880,0.890859
3.479450,0.902031
3.786890,0.926953
3.583330,0.920078
3.506330,0.917500
3.800000,0.926094
3.411760,0.912344
3.514080,0.914062
